trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.7555557693313,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.45444892871245,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.20037751984913,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.73355989418752,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-278.37250833876726,"{0: 14, 1: 2, 2: 7, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.62198060430882,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.02683737308823,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.96557831881452,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.1446183261185,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-264.8478706833036,"{0: 13, 1: 2, 2: 10, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.91519305462445,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.5569644837566,"{0: 9, 1: 4, 2: 7, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.8836679879163851,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.10990052125173,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.70925381713954,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
