trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",25,0,-168.02175729707469,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",25,0,-169.9397062178743,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-17.615239939859425,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",30,0,-138.94401854055698,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-49.930772461522324,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",25,0,-71.8109163269906,"{0: 18, 1: 5, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,0,-95.14524705881172,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-127.27177623582159,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,0,-57.46081288706797,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",20,0,-77.86113035236153,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-61.53165165442865,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-122.00075671589133,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",25,0,-96.36904110670706,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-141.79924078565813,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,10,-93.88763164071601,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,0,-35.642898186195026,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,0,-56.38950731309298,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,0,-88.30176908069402,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",20,4,-76.68689654709202,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 0}",1
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",25,0,-105.48266177886612,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",25,0,-196.83570393307093,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",30,0,-125.9535930030388,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",25,8,-30.784092397635078,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
