trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.13953988343083,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-345.65100838570123,"{0: 13, 1: 3, 2: 4, 3: 5, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.27015928163188,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.28743205336714,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.16610763295648,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.87414744911838,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.49156248185201,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.0601918382354,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.17198245179506,"{0: 21, 1: 8, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.20019119392288,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.0044399316813,"{0: 12, 1: 6, 2: 7, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-35.189848806765504,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.86521091813637,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.55553512929248,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-101.99820774232244,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.81741312802629,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.47809257477415,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.31349362948876,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.7190214560843,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.04592709439734,"{0: 12, 1: 8, 2: 1, 3: 0, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.4250360179619,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-177.81537739857734,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-298.1437940508917,"{0: 17, 1: 4, 2: 6, 3: 4, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-46.32921232996346,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-240.33337731545524,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 5}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-82.56965220468263,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-81.31104866600595,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,2,-153.76229389259316,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.38013979304584,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-125.82559071809634,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
